age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
3,Private,304857,Masters,14,Separated,Tech-support,Not-in-family,White,Male,4,0,2,United-States,1
0,Private,189590,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,2,United-States,0
4,Private,96299,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,0,0,2,United-States,1
4,Self-emp-not-inc,196307,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,0,United-States,0
0,Private,265434,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,1,United-States,0
0,Private,195770,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,1,United-States,0
2,Private,337130,1st-4th,2,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,2,Mexico,0
2,Private,286115,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,1
1,Private,178835,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,1,0,2,United-States,0
4,Local-gov,305767,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,2,China,0
4,,220783,10th,6,Widowed,,Unmarried,White,Female,0,0,2,United-States,0
0,Private,36251,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,0
4,Private,298470,Bachelors,13,Widowed,Sales,Not-in-family,White,Male,0,0,1,United-States,0
3,Self-emp-inc,207246,Some-college,10,Separated,Exec-managerial,Unmarried,White,Female,0,0,4,United-States,0
1,Private,225064,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,2,United-States,0
3,Private,256953,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,Black,Female,0,0,2,United-States,0
3,Private,103345,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,1
1,Private,209768,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,1
2,Self-emp-not-inc,205607,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,2,United-States,1
1,Private,69132,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,0
0,Private,353039,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Female,0,0,2,Mexico,0
0,Private,456430,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,0
0,Private,200967,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,2,United-States,0
1,Private,176683,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Male,0,0,2,France,0
3,Private,393768,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,0
1,Private,114673,Masters,14,Never-married,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0,0,2,United-States,0
1,State-gov,93589,HS-grad,9,Divorced,Protective-serv,Own-child,Other,Male,0,0,2,United-States,0
1,Private,104457,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,2,,0
3,Private,97883,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,0
0,Private,129010,12th,8,Never-married,Craft-repair,Own-child,White,Male,0,0,0,United-States,0
0,,162667,11th,7,Never-married,,Unmarried,White,Male,0,0,2,El-Salvador,0
3,Private,111979,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,0
2,Self-emp-not-inc,597843,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,Columbia,0
0,Private,442274,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,2,United-States,0
3,Self-emp-inc,188694,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,1
1,Private,118605,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,0
1,Private,296453,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,1,United-States,0
2,Private,289223,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2,2,United-States,1
4,Private,90526,12th,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,1,United-States,0
1,Private,73514,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,2,United-States,0
3,Private,248164,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2,0,3,United-States,1
1,Local-gov,172091,HS-grad,9,Never-married,Craft-repair,Unmarried,Black,Male,0,0,2,United-States,0
2,Private,66326,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,4,United-States,0
0,Self-emp-not-inc,57298,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
2,Private,334291,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2,2,United-States,1
1,Private,191834,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,0
2,Private,223934,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0,United-States,1
3,Self-emp-not-inc,200618,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,1
2,Private,183542,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,1,United-States,0
2,Private,140583,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,0
0,Private,163665,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
0,State-gov,181761,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,0,United-States,0
3,Private,162236,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,3,United-States,1
3,Private,127749,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,3,United-States,0
4,Private,260669,10th,6,Divorced,Other-service,Not-in-family,White,Female,0,0,0,United-States,0
1,Private,399052,9th,5,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,2,United-States,0
4,,285742,10th,6,Married-civ-spouse,,Husband,White,Male,0,0,3,United-States,1
2,Private,207578,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,3,3,United-States,1
0,Private,90934,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,1,United-States,0
1,Private,194813,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,0
0,Private,121023,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
2,Local-gov,156383,Some-college,10,Never-married,Protective-serv,Unmarried,Black,Female,0,0,2,United-States,0
2,Private,195189,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,2,United-States,0
0,State-gov,219211,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,1,United-States,0
3,Private,89041,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,1
1,Self-emp-not-inc,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,0
2,Private,104521,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
2,Private,227615,5th-6th,3,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0,0,1,Mexico,0
3,Private,202930,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,1
3,Self-emp-not-inc,195322,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,0
1,Private,251854,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,2,United-States,0
4,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,0
0,,119234,Some-college,10,Never-married,,Other-relative,White,Female,0,0,0,United-States,0
0,Private,233777,Some-college,10,Never-married,Sales,Unmarried,White,Male,0,0,3,Mexico,0
3,Private,175122,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,0
